Org Defined ID,Username,FirstName,LastName,Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,1,MC,,What year did the American Civil War end?,FALSE,1,1865,Checked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,1,MC,,What year did the American Civil War end?,FALSE,1,1941,UnChecked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,1,MC,,What year did the American Civil War end?,FALSE,1,1600,UnChecked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,1,MC,,What year did the American Civil War end?,FALSE,1,1792,UnChecked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,2,MC,,What city has the highest life expectancy? ,FALSE,1,HongKong,UnChecked,0,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,2,MC,,What city has the highest life expectancy? ,FALSE,1,New York,UnChecked,0,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,2,MC,,What city has the highest life expectancy? ,FALSE,1,Shanghai,UnChecked,0,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,2,MC,,What city has the highest life expectancy? ,FALSE,1,Singapore,Checked,0,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,3,MC,,What is the capital of Canada?,FALSE,1,Toronto,UnChecked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,3,MC,,What is the capital of Canada?,FALSE,1,Ottawa,Checked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,3,MC,,What is the capital of Canada?,FALSE,1,Vancouver,UnChecked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,3,MC,,What is the capital of Canada?,FALSE,1,London,UnChecked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,4,MAT,,"Match the word to its first letter. If your first name starts with E - L, please answer incorrectly for testing purposes. (Matching - all or nothing) ",FALSE,1,Data,Data,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,4,MAT,,"Match the word to its first letter. If your first name starts with E - L, please answer incorrectly for testing purposes. (Matching - all or nothing) ",FALSE,1,Capstone,Capstone,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,4,MAT,,"Match the word to its first letter. If your first name starts with E - L, please answer incorrectly for testing purposes. (Matching - all or nothing) ",FALSE,1,Spartan,Spartan,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,5,T/F,,An octopus have 3 hearts.,FALSE,1,TRUE,Checked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,5,T/F,,An octopus have 3 hearts.,FALSE,1,FALSE,UnChecked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,6,MSA,,What three animals have caused the most deaths in the world (every year). ,FALSE,1,Answer for blank # 1,Shark,0,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,6,MSA,,What three animals have caused the most deaths in the world (every year). ,FALSE,1,Answer for blank # 2,Elephant,0,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,6,MSA,,What three animals have caused the most deaths in the world (every year). ,FALSE,1,Answer for blank # 3,Lion,0,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,7,WR,,What is your favorite animal and why? (Write 3 sentences max.),FALSE,1,"My favorite animal is a turtle because they can live quite long. Also, there are both land and sea turtles, which is cool.",,0,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,8,M-S,,Which animals have fur?,FALSE,1,cat,Checked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,8,M-S,,Which animals have fur?,FALSE,1,dog,Checked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,8,M-S,,Which animals have fur?,FALSE,1,mole-rat,UnChecked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,8,M-S,,Which animals have fur?,FALSE,1,kangaroo,Checked,4,4
0ee13394-d777-11e8-892a-0050568f7ab1,StudentOneUser,StudentOneFirst,StudentOneLast,1,2/18/2023 9:11,2/18/2023 9:24,,9,M-S,,What two US cities have palm trees outside throughout the year?,FALSE,1,Seattle,UnChecked,0,4
